sequence;date;expirationDate;supplier;documentNumber;netAmount;vatAmount;totalAmount;outstandingAmount
20140203;30/06/2014;30/07/2014;De Bisschop;;307,23;64,52;371,75;371,75
20140202;30/06/2014;30/07/2014;vc wood;;2056,7;421,85;2478,55;0
20140201;30/06/2014;30/06/2014;de maesschalck h.;;1096,84;230,34;1327,18;0
20140199;30/06/2014;30/07/2014;etanco benelux;;114,75;24,1;138,85;0
20140197;29/06/2014;29/07/2014;Jaak Van Extergem;;2762,06;0;2762,06;0
20140191;20/06/2014;30/07/2014;dl chemicals;;313,26;65,78;379,04;379,04
20140189;25/06/2014;25/07/2014;van langendonck bvba;;101,42;21,3;122,72;0
20140188;20/06/2014;20/06/2014;de maesschalck h.;;507,37;106,55;613,92;0
20140186;19/06/2014;19/07/2014;scheuten glas diest nv;8120926;16,7;3,51;20,21;0
20140183;19/06/2014;19/07/2014;hdd design bvba;144450;27,96;5,87;33,83;33,83
20140182;28/05/2014;28/05/2014;de maesschalck h.;147403655;185,95;39,05;225;0
20140177;5/06/2014;5/07/2014;scheuten glas diest nv;8120009;69,48;14,59;84,07;0
20140175;12/06/2014;12/07/2014;hdd design bvba;144236;45,19;9,49;54,68;54,68
20140174;6/06/2014;6/07/2014;hdd design bvba;144112;94,68;19,88;114,56;114,56
20140173;2/06/2014;2/07/2014;db hardwoods;26379;1363,39;286,31;1649,7;0
20140171;11/06/2014;11/06/2014;de maesschalck h.;;365,24;76,7;441,94;0
20140167;10/06/2014;10/06/2014;vc wood;14060149;560,26;117,65;677,91;0
20140166;13/06/2014;13/07/2014;etanco benelux;vk-14/1998;784,87;164,82;949,69;949,69
20140164;18/06/2014;18/07/2014;lecot;291974;29,96;6,29;36,25;0
20140163;10/06/2014;10/06/2014;vc wood;14060049;338,94;71,18;410,12;0
20140161;30/05/2014;30/06/2014;Glashandel Michem;;145,17;30,49;175,66;0
20140150;26/04/2014;26/05/2014;Joeri Meersschaut;2014/027;200;0;200;200
20140149;16/05/2014;23/05/2014;cerclindus nv;;61,89;13;74,89;74,89
20140148;8/05/2014;7/06/2014;hout hendrickx;140213;2141,3;449,67;2590,97;1090,97
20140147;12/05/2014;11/06/2014;lecot;300/203085;89,47;18,79;108,26;0
20140144;27/05/2014;10/06/2014;de clercq eddy;DCE/201437;117,4;24,65;142,05;0
20140141;22/05/2014;21/06/2014;Callens;1400870;14122,94;2965,82;17088,76;13088,76
20140139;8/05/2014;7/06/2014;scheuten glas diest nv;8118240;165,53;34,76;200,29;0
20140138;8/05/2014;7/06/2014;scheuten glas diest nv;8118241;69,48;14,59;84,07;0
20140133;15/05/2014;14/06/2014;scheuten glas diest nv;8118753;57,44;12,06;69,5;0
20140132;30/04/2014;30/05/2014;dl chemicals;;626,52;131,57;758,09;0
20140131;30/04/2014;30/05/2014;lecot;;5,25;1,1;6,35;0
20140125;9/05/2014;8/06/2014;JP Renoir;;87,72;18,42;106,14;0
20140114;15/04/2014;15/05/2014;bouttens nv;9026;1373,85;288,51;1662,36;0
20140113;15/04/2014;15/05/2014;ropamate international;;255,6;53,68;309,28;309,28
20140111;18/04/2014;26/04/2014;Jaak Van Extergem;201409;6000;0;6000;0
20140107;11/04/2014;11/05/2014;Callens;1400639;2003,48;420,73;2424,21;0
20140106;8/04/2014;8/05/2014;ets. pascal de saedeleir nv;;-151,2;-31,43;-182,63;-181,12
20140105;11/04/2014;31/05/2014;ets. pascal de saedeleir nv;4582;24,2;5,03;29,23;28,99
20140102;10/04/2014;10/05/2014;lecot;;202,36;42,5;244,86;0
20140101;8/04/2014;8/05/2014;lecot;;171,74;36,07;207,81;0
20140098;31/03/2014;30/04/2014;bouttens nv;50424;-75;-15,75;-90,75;0
